Timestamp,Quantité consommée (mW),Prix
2024-03-03 08:46:55,2177,402745
2024-03-03 08:46:55,2159,399415
2024-03-03 08:46:55,2177,402745
2024-03-03 08:46:55,2159,399415
2024-03-03 08:46:55,2179,403115
2024-03-03 08:46:55,2162,399970
2024-03-03 08:46:55,2179,403115
2024-03-03 08:46:55,2163,400155
2024-03-03 08:46:55,2177,402745
2024-03-03 08:46:55,2166,400710
2024-03-03 08:46:55,2182,403670
2024-03-03 08:46:55,2162,399970
2024-03-03 08:46:55,2181,403485
2024-03-03 08:46:55,2163,400155
2024-03-03 08:46:55,2182,403670
2024-03-03 08:46:55,2163,400155
2024-03-03 08:46:56,2179,403115
2024-03-03 08:46:56,2161,399785
2024-03-03 08:46:56,2177,402745
2024-03-03 08:46:56,2162,399970
2024-03-03 08:46:56,2178,402930
2024-03-03 08:46:56,2159,399415
2024-03-03 08:46:56,2177,402745
2024-03-03 08:46:56,2161,399785
2024-03-03 08:46:56,2177,402745
2024-03-03 08:46:56,2158,399230
2024-03-03 08:46:56,2178,402930
2024-03-03 08:46:56,2161,399785
2024-03-03 08:46:56,2174,402190
2024-03-03 08:46:56,2183,403855
2024-03-03 08:46:56,2165,400525
2024-03-03 08:46:56,2182,403670
2024-03-03 08:46:56,2163,400155
2024-03-03 08:46:56,2181,403485
2024-03-03 08:46:56,2163,400155
2024-03-03 08:46:56,2179,403115
2024-03-03 08:46:56,2163,400155
2024-03-03 08:46:56,2179,403115
2024-03-03 08:46:56,2161,399785
2024-03-03 08:46:56,2177,402745
2024-03-03 08:46:56,2159,399415
2024-03-03 08:46:56,2177,402745
2024-03-03 08:46:56,2159,399415
2024-03-03 08:46:56,2179,403115
2024-03-03 08:46:56,2162,399970
2024-03-03 08:46:56,2179,403115
2024-03-03 08:46:56,2165,400525
2024-03-03 08:46:56,2181,403485
2024-03-03 08:46:56,2164,400340
2024-03-03 08:46:56,2179,403115
2024-03-03 08:46:56,2163,400155
2024-03-03 08:46:56,2179,403115
2024-03-03 08:46:56,2163,400155
2024-03-03 08:46:56,2180,403300
2024-03-03 08:46:56,2163,400155
2024-03-03 08:46:56,2180,403300
2024-03-03 08:46:56,2163,400155
2024-03-03 08:46:56,2179,403115
2024-03-03 08:46:56,2157,399045
2024-03-03 08:46:56,2175,402375
2024-03-03 08:46:56,2187,404595
2024-03-03 08:46:56,2168,401080
2024-03-03 08:46:56,2181,403485
2024-03-03 08:46:56,2163,400155
2024-03-03 08:46:56,2178,402930
2024-03-03 08:46:56,2161,399785
2024-03-03 08:46:56,2175,402375
2024-03-03 08:46:56,2185,404225
2024-03-03 08:46:56,2166,400710
2024-03-03 08:46:56,2182,403670
2024-03-03 08:46:56,2165,400525
2024-03-03 08:46:56,2179,403115
2024-03-03 08:46:56,2163,400155
2024-03-03 08:46:56,2180,403300
2024-03-03 08:46:56,2160,399600
2024-03-03 08:46:57,2177,402745
2024-03-03 08:46:57,2159,399415
2024-03-03 08:46:57,2179,403115
2024-03-03 08:46:57,2159,399415
2024-03-03 08:46:57,2181,403485
2024-03-03 08:46:57,2164,400340
2024-03-03 08:46:57,2179,403115
2024-03-03 08:46:57,2163,400155
2024-03-03 08:46:57,2179,403115
2024-03-03 08:46:57,2162,399970
2024-03-03 08:46:57,2177,402745
2024-03-03 08:46:57,2159,399415
2024-03-03 08:46:57,2177,402745
2024-03-03 08:46:57,2162,399970
2024-03-03 08:46:57,2179,403115
2024-03-03 08:46:57,2162,399970
2024-03-03 08:46:57,2179,403115
2024-03-03 08:46:57,2161,399785
2024-03-03 08:46:57,2177,402745
2024-03-03 08:46:57,2162,399970
2024-03-03 08:46:57,2179,403115
2024-03-03 08:46:57,2163,400155
2024-03-03 08:46:57,2180,403300
2024-03-03 08:46:57,2161,399785
2024-03-03 08:46:57,2178,402930
2024-03-03 08:46:57,2164,400340
2024-03-03 08:46:57,2177,402745
2024-03-03 08:46:57,2163,400155
2024-03-03 08:46:57,2181,403485
2024-03-03 08:46:57,2159,399415
2024-03-03 08:46:57,2180,403300
2024-03-03 08:46:57,2163,400155
2024-03-03 08:46:57,2181,403485
2024-03-03 08:46:57,2165,400525
2024-03-03 08:46:57,2182,403670
2024-03-03 08:46:57,2165,400525
2024-03-03 08:46:57,2183,403855
2024-03-03 08:46:57,2169,401265
2024-03-03 08:46:57,2183,403855
2024-03-03 08:46:57,2168,401080
2024-03-03 08:46:57,2182,403670
2024-03-03 08:46:57,2167,400895
2024-03-03 08:46:57,2183,403855
2024-03-03 08:46:57,2168,401080
2024-03-03 08:46:57,2183,403855
2024-03-03 08:46:57,2168,401080
2024-03-03 08:46:57,2181,403485
2024-03-03 08:46:57,2167,400895
2024-03-03 08:46:57,2185,404225
2024-03-03 08:46:57,2168,401080
2024-03-03 08:46:57,2183,403855
2024-03-03 08:46:57,2169,401265
2024-03-03 08:46:57,2187,404595
2024-03-03 08:46:57,2170,401450
2024-03-03 08:46:57,2187,404595
2024-03-03 08:46:57,2171,401635
